ActividadEconomicaDesc,total_cotizantes,total_cotizaciones
4220 - Construcción De Proyectos De Servicio Público,166376.567,166910.999
"2720 - Fabricación De Pilas, Baterías Y Acumuladores Eléctricos",166038.0,166045.0
4659 - Comercio Al Por Mayor De Otros Tipos De Maquinaria Y Equipo N.C.P.,165087.358,165141.898
"2022 - Fabricación De Pinturas, Barnices Y Revestimientos Similares, Tintas Para Impresión Y Masillas",164766.645,164961.701
6010 - Actividades De Programación Y Transmisión En El Servicio De Radiodifusión Sonora,163642.142,162793.506
2511 - Fabricación De Productos Metálicos Para Uso Estructural,163015.233,163148.442
"0820 - Extracción De Esmeraldas, Piedras Preciosas Y Semipreciosas",162704.848,162870.887
4751 - Comercio Al Por Menor De Productos Textiles En Establecimientos Especializados,162271.849,162450.157
9529 - Mantenimiento Y Reparación De Otros Efectos Personales Y Enseres Domésticos,162105.0,162247.0
1084 - Elaboración De Comidas Y Platos Preparados,161376.982,159779.414
4649 - Comercio Al Por Mayor De Otros Utensilios Domésticos N.C.P.,161339.686,161535.222
"6311 - Procesamiento De Datos, Alojamiento (Hosting) Y Actividades Relacionadas",160419.122,160593.037
"5221 - Actividades De Estaciones, Vías Y Servicios Complementarios Para El Transporte Terrestre",160228.933,160344.04
2392 - Fabricación De Materiales De Arcilla Para La Construcción,159271.83,159940.239
9329 - Otras Actividades Recreativas Y De Esparcimiento N.C.P.,159248.846,159335.534
7120 - Ensayos Y Análisis Técnicos,158971.299,158097.376
4662 - Comercio Al Por Mayor De Metales Y Productos Metalíferos,157821.121,157973.214
2219 - Fabricación De Formas Básicas De Caucho Y Otros Productos De Caucho N.C.P.,157568.719,157621.88
5122 - Transporte Aéreo Internacional De Carga,157427.736,157445.889
8553 - Enseñanza Cultural,156608.0,156760.0
1030 - Elaboración De Aceites Y Grasas De Origen Vegetal Y Animal,155967.039,155998.136
1313 - Acabado De Productos Textiles,155298.251,155429.898
5619 - Otros Tipos De Expendio De Comidas Preparadas N.C.P.,155134.233,155561.594
1820 - Producción De Copias A Partir De Grabaciones Originales,154425.0,154436.0
"4732 - Comercio Al Por Menor De Lubricantes (Aceites, Grasas), Aditivos Y Productos De Limpieza Para Vehículos Automotores",154329.265,154865.356
2740 - Fabricación De Equipos Eléctricos De Iluminación,153347.171,153511.171
"1702 - Fabricación De Papel Y Cartón Ondulado (Corrugado); Fabricación De Envases, Empaques Y De Embalajes De Papel Y Cartón.",152103.567,146681.642
8542 - Educación Tecnológica,151730.0,151904.0
"2512 - Fabricación De Tanques, Depósitos Y Recipientes De Metal, Excepto Los Utilizados Para El Envase O Transporte De Mercancías",151527.227,151613.227
1311 - Preparación E Hilatura De Fibras Textiles,149943.731,149955.748
"9601 - Lavado Y Limpieza, Incluso La Limpieza En Seco, De Productos Textiles Y De Piel",148953.738,148901.463
"3210 - Fabricación De Joyas, Bisutería Y Artículos Conexos",148404.101,148504.125
0163 - Actividades Posteriores A La Cosecha,148313.105,148316.105
"4729 - Comercio Al Por Menor De Otros Productos Alimenticios N.C.P., En Establecimientos Especializados",147954.435,148128.661
1011 - Procesamiento Y Conservación De Carne Y Productos Cárnicos,147189.219,147313.424
"2813 - Fabricación De Otras Bombas, Compresores, Grifos Y Válvulas",146900.0,146903.0
"4754 - Comercio Al Por Menor De Electrodomésticos Y Gasodomésticos De Uso Doméstico, Muebles Y Equipos De Iluminación",146130.409,146521.426
5021 - Transporte Fluvial De Pasajeros,146106.002,146542.04
0144 - Cría De Ganado Porcino,145309.904,145416.527
0126 - Cultivo De Palma Para Aceite (Palma Africana) Y Otros Frutos Oleaginosos,145080.903,145747.835
5629 - Actividades De Otros Servicios De Comidas,145054.02,145537.613
5530 - Servicio Por Horas,144976.826,145528.071
4930 - Transporte Por Tuberías,144658.0,144710.0
4512 - Comercio De Vehículos Automotores Usados,144177.531,144383.624
8230 - Organización De Convenciones Y Eventos Comerciales,143742.361,144114.296
2829 - Fabricación De Otros Tipos De Maquinaria Y Equipo De Uso Especial N.C.P.,143713.362,143767.374
0162 - Actividades De Apoyo A La Ganadería,143323.294,143515.441
"2395 - Fabricación De Artículos De Hormigón, Cemento Y Yeso",142843.184,142914.336
"2593 - Fabricación De Artículos De Cuchillería, Herramientas De Mano Y Artículos De Ferretería",142590.143,142596.143
2429 - Industrias Básicas De Otros Metales No Ferrosos,142069.501,142081.545
2592 - Tratamiento Y Revestimiento De Metales; Mecanizado,141821.089,142038.161
3313 - Mantenimiento Y Reparación Especializado De Equipo Electrónico Y Óptico,141625.0,141817.0
2030 - Fabricación De Fibras Sintéticas Y Artificiales,141463.464,141472.464
"2711 - Fabricación De Motores, Generadores Y Transformadores Eléctricos",141414.0,141436.0
2432 - Fundición De Metales No Ferrosos,141215.0,141348.0
1312 - Tejeduría De Productos Textiles,140769.165,140785.388
"3250 - Fabricación De Instrumentos, Aparatos Y Materiales Médicos Y Odontológicos (Incluido Mobiliario)",140710.271,140775.388
0710 - Extracción De Minerales De Hierro,140685.0,140686.0
0122 - Cultivo De Plátano Y Banano,140681.671,142841.163
"9102 - Actividades Y Funcionamiento De Museos, Conservación De Edificios Y Sitios Históricos",140636.727,140691.729
2712 - Fabricación De Aparatos De Distribución Y Control De La Energía Eléctrica,139470.026,139520.032
7810 - Actividades De Agencias De Empleo,138874.417,138992.333
3700 - Evacuación Y Tratamiento De Aguas Residuales,138063.015,138171.028
1640 - Fabricación De Recipientes De Madera,137456.406,137512.406
"4781 - Comercio Al Por Menor De Alimentos, Bebidas Y Tabaco, En Puestos De Venta Móviles",137072.615,137161.685
1921 - Fabricación De Productos De La Refinación Del Petróleo,135935.833,135971.852
"2825 - Fabricación De Maquinaria Para La Elaboración De Alimentos, Bebidas Y Tabaco",135801.0,135826.0
"9103 - Actividades De Jardines Botánicos, Zoológicos Y Reservas Naturales",135717.554,135886.571
1051 - Elaboración De Productos De Molinería,135548.467,135915.728
5222 - Actividades De Puertos Y Servicios Complementarios Para El Transporte Acuático,135546.961,135760.409
"4753 - Comercio Al Por Menor De Tapices, Alfombras Y Cubrimientos Para Paredes Y Pisos En Establecimientos Especializados",135278.732,135297.733
1040 - Elaboración De Productos Lácteos,135127.153,135220.773
1052 - Elaboración De Almidones Y Productos Derivados Del Almidón,135050.0,135450.0
"1630 - Fabricación De Partes Y Piezas De Madera, De Carpintería Y Ebanistería Para La Construcción",134870.706,134936.643
0220 - Extracción De Madera,134786.058,134915.058
9512 - Mantenimiento Y Reparación De Equipos De Comunicación,134773.557,134775.557
5012 - Transporte De Carga Marítimo Y De Cabotaje,134674.0,134811.0
4721 - Comercio Al Por Menor De Productos Agrícolas Para El Consumo En Establecimientos Especializados,132846.881,132919.202
2013 - Fabricación De Plásticos En Formas Primarias,132425.603,132444.654
1511 - Curtido Y Recurtido De Cueros; Recurtido Y Teñido De Pieles,132126.688,132143.091
2821 - Fabricación De Maquinaria Agropecuaria Y Forestal,132088.529,132136.531
"4322 - Instalaciones De Fontanería, Calefacción Y Aire Acondicionado",131593.348,131738.991
4329 - Otras Instalaciones Especializadas,131188.195,131256.386
1061 - Trilla De Café,131094.0,131117.0
5612 - Expendio Por Autoservicio De Comidas Preparadas,130958.41,131446.272
4922 - Transporte Mixto,130653.889,130736.28
4312 - Preparación Del Terreno,130337.384,130417.092
1812 - Actividades De Servicios Relacionados Con La Impresión,129811.661,129960.712
2640 - Fabricación De Aparatos Electrónicos De Consumo,129629.0,129644.0
"8219 - Fotocopiado, Preparación De Documentos Y Otras Actividades Especializadas De Apoyo A Oficina",129207.42,129423.495
4755 - Comercio Al Por Menor De Artículos Y Utensilios De Uso Doméstico,128548.114,127910.396
0210 - Silvicultura Y Otras Actividades Forestales,128318.47,128509.57
8810 - Actividades De Asistencia Social Sin Alojamiento Para Personas Mayores Y Discapacitadas,127979.361,128209.431
3091 - Fabricación De Motocicletas,127870.0,127870.0
2920 - Fabricación De Carrocerías Para Vehículos Automotores; Fabricación De Remolques Y Semirremolques,127124.421,127223.474
1910 - Fabricación De Productos De Hornos De Coque,126993.836,127502.872
0115 - Cultivo De Plantas Textiles,124884.056,124939.06
8291 - Actividades De Agencias De Cobranza Y Oficinas De Calificación Crediticia,124551.918,124658.191
2410 - Industrias Básicas De Hierro Y De Acero,124223.61,124520.184
2212 - Reencauche De Llantas Usadas,123913.0,124068.0
3319 - Mantenimiento Y Reparación De Otros Tipos De Equipos Y Sus Componentes N.C.P.,123021.86,122254.945
3320 - Instalación Especializada De Maquinaria Y Equipo Industrial,122928.772,123105.783
4643 - Comercio Al Por Mayor De Calzado,122809.437,123130.475
3830 - Recuperación De Materiales,122235.123,122370.169
"4742 - Comercio Al Por Menor De Equipos Y Aparatos De Sonido Y De Video, En Establecimientos Especializados",121565.0,121597.0
4542 - Mantenimiento Y Reparación De Motocicletas Y De Sus Partes Y Piezas,121368.416,121633.326
"1620 - Fabricación De Hojas De Madera Para Enchapado; Fabricación De Tableros Contrachapados, Tableros Laminados, Tableros De Partículas Y Otros Tableros Y Paneles",120927.871,121297.075
0149 - Cría De Otros Animales N.C.P.,120353.835,120476.138
5513 - Alojamiento En Centros Vacacionales,118989.099,119048.102
0620 - Extracción De Gas Natural,117190.0,117192.0
"4762 - Comercio Al Por Menor De Artículos Deportivos, En Establecimientos Especializados",116475.619,117079.809
1072 - Elaboración De Panela,116316.023,116380.023
2021 - Fabricación De Plaguicidas Y Otros Productos Químicos De Uso Agropecuario,116199.0,116212.0
0128 - Cultivo De Especias Y De Plantas Aromáticas Y Medicinales,116079.293,116290.333
3530 - Suministro De Vapor Y Aire Acondicionado,115866.256,114973.301
9005 - Artes Plásticas Y Visuales,114949.0,115034.0
0129 - Otros Cultivos Permanentes N.C.P.,114664.303,113816.473
"8720 - Actividades De Atención Residencial, Para El Cuidado De Pacientes Con Retardo Mental, Enfermedad Mental Y Consumo De Sustancias Psicoactivas",114444.0,114640.0
2816 - Fabricación De Equipo De Elevación Y Manipulación,113670.0,113777.0
3822 - Tratamiento Y Disposición De Desechos Peligrosos,113500.0,113512.0
"4665 - Comercio Al Por Mayor De Desperdicios, Desechos Y Chatarra",113382.439,111744.86
2731 - Fabricación De Hilos Y Cables Eléctricos Y De Fibra Óptica,112662.0,112692.0
1071 - Elaboración Y Refinación De Azúcar,112565.616,112642.657
"1062 - Descafeinado, Tostión Y Molienda Del Café",112447.671,112606.674
5520 - Actividades De Zonas De Camping Y Parques Para Vehículos Recreacionales,111653.282,111744.283
9311 - Gestión De Instalaciones Deportivas,110590.026,110666.026
9006 - Actividades Teatrales,110355.0,110446.0
6514 - Capitalización,110202.0,110252.0
"1392 - Confección De Artículos Con Materiales Textiles, Excepto Prendas De Vestir",110011.181,110314.557
2824 - Fabricación De Maquinaria Para Explotación De Minas Y Canteras Y Para Obras De Construcción,109806.0,109853.0
5112 - Transporte Aéreo Internacional De Pasajeros,108488.0,108549.0
7912 - Actividades De Operadores Turísticos,108459.791,108554.873
9810 - Actividades No Diferenciadas De Los Hogares Individuales Como Productores De Bienes Para Uso Propio,108356.626,108433.663
8110 - Actividades Combinadas De Apoyo A Instalaciones,107673.786,107745.368
5613 - Expendio De Comidas Preparadas En Cafeterías,106593.016,106659.29
"4722 - Comercio Al Por Menor De Leche, Productos Lácteos Y Huevos, En Establecimientos Especializados",105946.397,106105.441
4769 - Comercio Al Por Menor De Otros Artículos Culturales Y De Entretenimiento N.C.P. En Establecimientos Especializados,105560.0,105595.0
2750 - Fabricación De Aparatos De Uso Doméstico,105286.533,105303.54
4911 - Transporte Férreo De Pasajeros,104395.0,105045.0
"0113 - Cultivo De Hortalizas, Raíces Y Tubérculos",104005.6,104392.98
1420 - Fabricación De Artículos De Piel,101482.0,101516.0
"1103 - Producción De Malta, Elaboración De Cervezas Y Otras Bebidas Malteadas",101391.0,101408.0
5621 - Catering Para Eventos,101133.309,101216.912
1200 - Elaboración De Productos De Tabaco,100832.0,100952.0
8730 - Actividades De Atención En Instituciones Para El Cuidado De Personas Mayores Y/O Discapacitadas,98572.944,98690.051
0240 - Servicios De Apoyo A La Silvicultura,98246.0,98294.0
9522 - Mantenimiento Y Reparación De Aparatos Y Equipos Domésticos Y De Jardinería,97921.0,97984.0
"2811 - Fabricación De Motores, Turbinas, Y Partes Para Motores De Combustión Interna",95416.976,95493.116
7729 - Alquiler Y Arrendamiento De Otros Efectos Personales Y Enseres Domésticos N.C.P.,94872.501,95040.512
4775 - Comercio Al Por Menor De Artículos De Segunda Mano,93533.409,93916.576
5630 - Expendio De Bebidas Alcohólicas Para El Consumo Dentro Del Establecimiento,91957.73,92305.812
5914 - Actividades De Exhibición De Películas Cinematográficas Y Videos,91951.083,92064.083
9521 - Mantenimiento Y Reparación De Aparatos Electrónicos De Consumo,91949.563,92074.616
3812 - Recolección De Desechos Peligrosos,90628.991,90693.021
"1012 - Procesamiento Y Conservación De Pescados, Crustáceos Y Moluscos",89887.748,89917.137
3821 - Tratamiento Y Disposición De Desechos No Peligrosos,89758.243,89822.251
1523 - Fabricación De Partes Del Calzado,89623.721,89716.826
8130 - Actividades De Paisajismo Y Servicios De Mantenimiento Conexos,88129.032,87272.221
"1522 - Fabricación De Otros Tipos De Calzado, Excepto Calzado De Cuero Y Piel",87023.09,87061.166
"2396 - Corte, Tallado Y Acabado De La Piedra",86431.0,86516.0
9001 - Creación Literaria,86212.96399999999,86312.977
0322 - Acuicultura De Agua Dulce,84668.46399999999,85390.701
5519 - Otros Tipos De Alojamientos Para Visitantes,84538.46399999999,84631.509
8292 - Actividades De Envase Y Empaque,82302.81,82475.532
2823 - Fabricación De Maquinaria Para La Metalurgia,81649.0,81660.0
2431 - Fundición De Hierro Y De Acero,79953.503,80031.517
"2513 - Fabricación De Generadores De Vapor, Excepto Calderas De Agua Caliente Para Calefacción Central",79812.0,79856.0
9820 - Actividades No Diferenciadas De Los Hogares Individuales Como Productores De Servicios Para Uso Propio,79628.0,79712.0
2732 - Fabricación De Dispositivos De Cableado,79515.0,79521.0
"1512 - Fabricación De Artículos De Viaje, Bolsos De Mano Y Artículos Similares Elaborados En Cuero, Y Fabricación De Artículos De Talabartería Y Guarnicionería",77453.721,77473.757
6615 - Actividades De Los Profesionales De Compra Y Venta De Divisas,77122.0,77338.0
"4782 - Comercio Al Por Menor De Productos Textiles, Prendas De Vestir Y Calzado, En Puestos De Venta Móviles",75771.0,75853.0
4311 - Demolición,75635.37,74211.493
"1690 - Fabricación De Otros Productos De Madera; Fabricación De Artículos De Corcho, Cestería Y Espartería",72889.89199999999,72943.933
5590 - Otros Tipos De Alojamiento N.C.P.,71445.748,71492.794
9492 - Actividades De Asociaciones Políticas,71420.0,71503.0
4789 - Comercio Al Por Menor De Otros Productos En Puestos De Venta Móviles,71325.0,71487.0
5514 - Alojamiento Rural,70265.0,70310.0
2822 - Fabricación De Máquinas Formadoras De Metal Y De Máquinas Herramienta,70113.0,70195.0
"2591 - Forja, Prensado, Estampado Y Laminado De Metal; Pulvimetalurgia",70048.0,70090.0
"7740 - Arrendamiento De Propiedad Intelectual Y Productos Similares, Excepto Obras Protegidas Por Derechos De Autor",69316.0,69447.0
5512 - Alojamiento En Apartahoteles,68821.359,68882.372
"2814 - Fabricación De Cojinetes, Engranajes, Trenes De Engranajes Y Piezas De Transmisión",68417.0,68419.0
"4724 - Comercio Al Por Menor De Bebidas Y Productos Del Tabaco, En Establecimientos Especializados",67742.334,67883.354
"1083 - Elaboración De Macarrones, Fideos, Alcuzcuz Y Productos Farináceos Similares",67645.0,67652.0
"1513 - Fabricación De Artículos De Viaje, Bolsos De Mano Y Artículos Similares; Artículos De Talabartería Y Guarnicionería Elaborados En Otros Materiales",67358.0,67383.0
"1394 - Fabricación De Cuerdas, Cordeles, Cables, Bramantes Y Redes",67145.0,67154.0
3099 - Fabricación De Otros Tipos De Equipo De Transporte N.C.P.,61249.0,61294.0
9524 - Reparación De Muebles Y Accesorios Para El Hogar,60898.0,60996.0
0891 - Extracción De Minerales Para La Fabricación De Abonos Y Productos Químicos,60784.0,60791.0
"3240 - Fabricación De Juegos, Juguetes Y Rompecabezas",59589.0,59600.0
5920 - Actividades De Grabación De Sonido Y Edición De Música,56430.0,56460.0
1430 - Fabricación De Artículos De Punto Y Ganchillo,55977.0,55986.0
0142 - Cría De Caballos Y Otros Equinos,55636.0,55724.0
6513 - Reaseguros,54347.0,54372.0
1922 - Actividad De Mezcla De Combustibles,54268.0,54282.0
9002 - Creación Musical,53305.0,53437.0
6391 - Actividades De Agencias De Noticias,52144.0,52169.0
6522 - Servicios De Seguros Sociales De Riesgos Profesionales,51839.0,51883.0
4792 - Comercio Al Por Menor Realizado A Través De Casas De Venta O Por Correo,50914.0,50981.0
1102 - Elaboración De Bebidas Fermentadas No Destiladas,50630.0,50643.0
1391 - Fabricación De Tejidos De Punto Y Ganchillo,49346.0,49425.0
3230 - Fabricación De Artículos Y Equipo Para La Práctica Del Deporte,48787.0,48796.0
2670 - Fabricación De Instrumentos Ópticos Y Equipo Fotográfico,47516.0,47527.0
4912 - Transporte Férreo De Carga,46735.0,46739.0
2393 - Fabricación De Otros Productos De Cerámica Y Porcelana,45795.0,45910.0
2620 - Fabricación De Computadoras Y De Equipo Periférico,43541.0,43555.0
0127 - Cultivo De Plantas Con Las Que Se Preparan Bebidas,42764.0,42780.0
3011 - Construcción De Barcos Y De Estructuras Flotantes,42004.0,42074.0
2014 - Fabricación De Caucho Sintético En Formas Primarias,41222.0,41318.0
"5912 - Actividades De Posproducción De Películas Cinematográficas, Videos, Programas, Anuncios Y Comerciales De Televisión",38234.0,38257.0
"5913 - Actividades De Distribución De Películas Cinematográficas, Videos, Programas, Anuncios Y Comerciales De Televisión",34398.0,34473.0
0164 - Tratamiento De Semillas Para Propagación,32703.0,32703.0
"0812 - Extracción De Arcillas De Uso Industrial, Caliza, Caolín Y Bentonitas",32323.0,32332.0
"2815 - Fabricación De Hornos, Hogares Y Quemadores Industriales",32024.0,32045.0
"2651 - Fabricación De Equipo De Medición, Prueba, Navegación Y Control",31776.0,31783.0
0312 - Pesca De Agua Dulce,31651.0,31651.0
2812 - Fabricación De Equipos De Potencia Hidráulica Y Neumática,29475.0,29475.0
2660 - Fabricación De Equipo De Irradiación Y Equipo Electrónico De Uso Médico Y Terapéutico,28540.0,28550.0
1393 - Fabricación De Tapetes Y Alfombras Para Pisos,27074.0,27074.0
2391 - Fabricación De Productos Refractarios,25613.0,25724.0
7721 - Alquiler Y Arrendamiento De Equipo Recreativo Y Deportivo,24177.0,24186.0
2680 - Fabricación De Medios Magnéticos Y Ópticos Para Almacenamiento De Datos,20984.0,20984.0
3092 - Fabricación De Bicicletas Y De Sillas De Ruedas Para Personas Con Discapacidad,20810.0,20814.0
6614 - Actividades De Las Casas De Cambio,20733.0,20737.0
6491 - Leasing Financiero (Arrendamiento Financiero),18608.0,18617.0
"2826 - Fabricación De Maquinaria Para La Elaboración De Productos Textiles, Prendas De Vestir Y Cueros",18454.0,18454.0
0892 - Extracción De Halita (Sal),17976.0,17976.0
3220 - Fabricación De Instrumentos Musicales,15982.0,15999.0
5812 - Edición De Directorios Y Listas De Correo,15648.0,15665.0
9003 - Creación Teatral,13521.0,13529.0
"3030 - Fabricación De Aeronaves, Naves Espaciales Y De Maquinaria Conexa",12254.0,12254.0
0311 - Pesca Marítima,12014.0,12017.0
0170 - Caza Ordinaria Y Mediante Trampas Y Actividades De Servicios Conexas,11625.0,11628.0
0230 - Recolección De Productos Forestales Diferentes A La Madera,11007.0,11021.0
7722 - Alquiler De Videos Y Discos,10925.0,10937.0
9523 - Reparación De Calzado Y Artículos De Cuero,9092.0,9097.0
2630 - Fabricación De Equipos De Comunicación,7865.0,7868.0
2652 - Fabricación De Relojes,7751.0,7751.0
3012 - Construcción De Embarcaciones De Recreo Y Deporte,7739.0,7745.0
2817 - Fabricación De Maquinaria Y Equipo De Oficina (Excepto Computadoras Y Equipo Periférico),7475.0,7475.0
2818 - Fabricación De Herramientas Manuales Con Motor,7251.0,7252.0
6532 - Régimen De Ahorro Individual (Rai),7147.0,7166.0
0143 - Cría De Ovejas Y Cabras,5840.0,5840.0
6432 - Fondos De Cesantías,5819.0,5827.0
0321 - Acuicultura Marítima,3528.0,3536.0
2520 - Fabricación De Armas Y Municiones,2324.0,2336.0
0721 - Extracción De Minerales De Uranio Y De Torio,1869.0,1869.0
3020 - Fabricación De Locomotoras Y De Material Rodante Para Ferrocarriles,1519.0,1519.0
3040 - Fabricación De Vehículos Militares De Combate,198.0,198.0
